,Pearson's Correlation Coefficient
RIOK2,0.059
PLD2,0.059
ENSG00000279757,0.059
ZMYM3,0.059
SNRPBP1,0.059
MYOM3-AS1,0.059
ENSG00000225708,0.059
NDOR1,0.059
ENSG00000271185,0.059
RPS27L,0.059
RPL32P20,0.059
CHUK,0.059
SF3A3P2,0.059
DNAJB6P6,0.059
PTMA,0.059
RNA5SP99,0.059
DHFRP3,0.059
RAB6B,0.059
FAM201A,0.059
AMFR,0.059
MRPS16P2,0.059
CAST,0.059
FER1L6,0.059
RPL21P4,0.059
FBLL1,0.059
RBM12B-AS1,0.059
HIP1R,0.059
ENSG00000279460,0.059
PPIAP28,0.059
ENSG00000267484,0.059
SFPQ,0.059
ENSG00000231291,0.059
ENSG00000238031,0.059
OR11H2,0.059
RN7SL569P,0.059
LINC01755,0.059
LINC01405,0.059
ABCC5,0.059
ENSG00000206824,0.059
HIKESHI,0.059
ENSG00000256596,0.059
OR7E158P,0.059
SFTPC,0.059
AGPAT5,0.059
ENSG00000267122,0.059
CEACAMP6,0.059
ENSG00000264093,0.059
ENSG00000267249,0.059
DDX50P2,0.059
PRKG2-AS1,0.059
ENSG00000269843,0.059
TBXA2R,0.059
TECRP1,0.059
SNX18P2,0.059
ENSG00000272885,0.059
ENSG00000225790,0.059
HHIP,0.059
C10ORF71-AS1,0.059
ENSG00000279297,0.059
SUMO2P12,0.059
DXO,0.059
FSCB,0.059
AFP,0.059
ENSG00000255457,0.059
MTUS2-AS1,0.059
BOLA2P1,0.059
ENSG00000255980,0.059
ENSG00000282317,0.059
SLC25A15P1,0.059
ENSG00000256811,0.059
ENSG00000283679,0.059
CEBPG,0.059
ENSG00000267737,0.059
OTULIN-DT,0.059
MFSD14B,0.059
HMGN2P32,0.059
PDS5A,0.059
MBD3L4,0.059
NKX2-6,0.059
TEX14,0.059
RPS15,0.059
ENSG00000237899,0.059
ENSG00000267760,0.059
LSR,0.059
SPATA18,0.059
LINC02505,0.059
HNRNPRP1,0.058
NUP210L,0.058
REXO1L1P,0.058
PTRHD1,0.058
RNU6-702P,0.058
ZNF574,0.058
FGD6,0.058
ENSG00000260205,0.058
NEPRO-AS1,0.058
ENSG00000235845,0.058
RGL3,0.058
ENSG00000258895,0.058
STK32C,0.058
OPA3,0.058
HSBP1P1,0.058
RPS2P6,0.058
ENSG00000274420,0.058
THSD1,0.058
CSH2,0.058
ENSG00000258827,0.058
MMADHC,0.058
C6ORF201,0.058
ENSG00000265946,0.058
RNA5SP488,0.058
ANGPTL2,0.058
CEACAM5,0.058
FAM151A,0.058
MIR182,0.058
ENSG00000263772,0.058
ETNPPL,0.058
ENSG00000285100,0.058
ENSG00000266505,0.058
ENSG00000215146,0.058
MSANTD2P1,0.058
RNA5SP379,0.058
EHMT2,0.058
ENSG00000240354,0.058
SMCP,0.058
MIR5691,0.058
ENSG00000275508,0.058
TWF2-DT,0.058
MTHFD2P1,0.058
MIR6844,0.058
ARPIN-AP3S2,0.058
ENSG00000252923,0.058
RSPH9,0.058
ENSG00000257343,0.058
LINC01031,0.058
UNGP3,0.058
KRTAP11-1,0.058
IL12A-AS1,0.058
SND1-DT,0.058
AATF,0.058
GSTCD-AS1,0.058
CLIP1,0.058
TUBBP3,0.058
MRPL35P4,0.058
ENSG00000228586,0.058
GOLGA6L9,0.058
LINC02510,0.058
COQ5,0.058
ENSG00000227747,0.058
ENSG00000215805,0.058
ENSG00000229594,0.058
ENSG00000254821,0.058
LINC01972,0.058
TRMT112P3,0.058
VAMP3,0.058
COMMD4P2,0.058
TNRC18P2,0.058
MIR6860,0.058
RBM34,0.058
ENSG00000280309,0.058
ENSG00000276054,0.058
ENSG00000279407,0.058
ENSG00000269993,0.058
SMC1B,0.058
RNU6-77P,0.058
FZD3,0.058
ARHGAP44-AS1,0.058
RTRAFP1,0.058
CPT1A,0.058
ENSG00000267882,0.058
HSPA12B,0.058
TAS2R1,0.058
MIR6851,0.058
ENSG00000270955,0.058
SNRPEP6,0.058
ENSG00000229497,0.058
ENSG00000277938,0.058
MIR4256,0.058
SPAG1,0.058
ANO8,0.058
PIP,0.058
MRPL34,0.058
ADH5P2,0.058
ISM1-AS1,0.058
ENSG00000285742,0.058
FAM230H,0.058
IMPDH1P2,0.058
ENSG00000269189,0.058
EIF4HP1,0.058
ERVV-1,0.058
KRTAP1-4,0.058
STARD7-AS1,0.058
PROK1,0.058
CSNK1A1P1,0.058
RPL7L1P1,0.058
ENSG00000231595,0.058
ENSG00000276248,0.058
ENSG00000282885,0.058
ENSG00000275908,0.058
ITPRID1,0.058
CTAGE6,0.058
ENSG00000237699,0.058
TMEM92-AS1,0.058
C1GALT1C1,0.058
ENSG00000267038,0.058
FDPSP4,0.058
BOLA3P1,0.058
RNA5SP174,0.058
BCRP6,0.058
NSA2P4,0.058
PNMA1,0.058
CDPF1P1,0.058
PPIAP29,0.058
PSMD7P1,0.058
IQUB,0.058
H2BC7,0.058
SNORD73B,0.058
ENSG00000229288,0.058
SNORD100,0.058
PPP1R26P3,0.058
ZSWIM5,0.058
ENSG00000249417,0.058
NME3,0.058
ENSG00000250238,0.058
ATMIN,0.058
ENSG00000259821,0.058
HEXB,0.058
SMARCE1P3,0.058
RPS19BP1,0.058
ENSG00000230782,0.058
ENSG00000260273,0.058
PLEKHG2,0.058
ENSG00000224970,0.058
ENSG00000233114,0.058
FAM78B,0.058
SNX33P1,0.058
HLA-Z,0.058
NPRL3,0.058
TRMT2A,0.058
LSM7,0.058
KLLN,0.058
ATR,0.058
HTN1,0.058
CHORDC1,0.058
OR10H1,0.058
RNU4-72P,0.058
ADH5P5,0.058
SRP68P3,0.058
RFC3P1,0.058
H2BC16P,0.058
ENSG00000283704,0.057
POLG,0.057
ENSG00000237639,0.057
SRMP1,0.057
RNU6-669P,0.057
ENSG00000176984,0.057
UBQLN1,0.057
GOLGA6L11P,0.057
HSPA5P1,0.057
CSNK1G3,0.057
ENSG00000259985,0.057
EEF1B2,0.057
ENSG00000285694,0.057
HMGN1P16,0.057
ENSG00000271985,0.057
ENSG00000236829,0.057
ENSG00000254205,0.057
RN7SL636P,0.057
NDUFB4,0.057
MIR924,0.057
LINC02183,0.057
ENSG00000228201,0.057
ENSG00000255243,0.057
ENSG00000242527,0.057
ZNF837,0.057
ENSG00000226661,0.057
SNORA79,0.057
ENSG00000230790,0.057
ENSG00000267141,0.057
LINC01632,0.057
ENSG00000274878,0.057
RNU1-148P,0.057
TOLLIP-DT,0.057
IL1A,0.057
SPATA9,0.057
POTEG,0.057
ENSG00000253945,0.057
ENSG00000258125,0.057
OR8B5P,0.057
NACAD,0.057
ENSG00000273442,0.057
ENSG00000266364,0.057
OR2B2,0.057
POTEH-AS1,0.057
SNORA80D,0.057
ENSG00000206925,0.057
SPAM1,0.057
LINC02354,0.057
DAB2,0.057
CRIP1P3,0.057
ENSG00000266708,0.057
RBBP4P5,0.057
CAPN7,0.057
TTC37,0.057
ENSG00000237251,0.057
MIOX,0.057
LINC02353,0.057
ENSG00000280061,0.057
ENSG00000278944,0.057
RWDD1,0.057
MOCS1,0.057
RNU6-13P,0.057
VPS25P1,0.057
PTP4A1P4,0.057
KTI12,0.057
ENSG00000270541,0.057
EHD4,0.057
ENSG00000278864,0.057
ENSG00000241357,0.057
TOMT,0.057
BMS1P15,0.057
RPEP6,0.057
ENSG00000271590,0.057
SH3PXD2A,0.057
ENSG00000247934,0.057
THAP12P1,0.057
SLC3A1,0.057
LMLN2,0.057
ENSG00000223777,0.057
EIF2B4,0.057
ENSG00000233358,0.057
ZNF222-DT,0.057
ENSG00000227098,0.057
PRR30,0.057
ANAPC5,0.057
RNU6-216P,0.057
ENSG00000278013,0.057
ENSG00000237596,0.057
ENSG00000259707,0.057
CIB4,0.057
ENSG00000259018,0.057
EFS,0.057
GALNT11,0.057
ENSG00000279526,0.057
MIR7706,0.057
ENSG00000230694,0.057
PTCH1,0.057
ENSG00000237345,0.057
PPIAP34,0.057
LCEP4,0.057
LINC01568,0.057
NDUFB1P1,0.057
DSCAM,0.057
ATOX1,0.057
ENSG00000272383,0.057
ENSG00000254278,0.057
AMBP,0.057
ENSG00000267455,0.057
ENSG00000235582,0.057
SSX9P,0.057
SULT6B1,0.057
ENSG00000258717,0.057
ENSG00000235612,0.057
TICAM2-AS1,0.057
GAPDHP70,0.057
OPA1,0.057
ENSG00000206951,0.057
SLC7A6,0.057
ENSG00000224484,0.057
PPIAP39,0.057
GPX4,0.057
ZC2HC1A,0.057
ETFB,0.057
TMEM132B,0.057
ENSG00000273838,0.057
ENSG00000230027,0.057
ENSG00000224658,0.057
ENSG00000254316,0.057
ENSG00000240950,0.057
ENSG00000249689,0.057
PARN,0.057
ATAD1,0.057
PGAM1P1,0.057
FMO9P,0.057
TBC1D10B,0.057
ENSG00000260584,0.057
ENSG00000217648,0.057
RRAGAP1-AS1,0.057
ENSG00000279022,0.057
ENSG00000255503,0.057
ZNF7,0.057
KCTD5P1,0.057
RPL27A,0.057
CHEK2P5,0.057
ARHGEF10L,0.057
MRE11,0.057
RNU2-37P,0.057
PPIAP21,0.057
CTAGE8,0.057
RRM2P4,0.057
CTAGE4,0.057
ZSCAN5A-AS1,0.057
EIF2A,0.057
FPGS,0.057
SHISAL2B,0.056
HSPA8P4,0.056
HESX1,0.056
RPSAP41,0.056
TUBB1P2,0.056
ENSG00000272442,0.056
MRPL33,0.056
RPS6,0.056
ENOX1-AS1,0.056
RTP2,0.056
ENSG00000275853,0.056
RPL12P31,0.056
ENSG00000261642,0.056
ENSG00000203262,0.056
ENSG00000274191,0.056
RPL7P37,0.056
RNU1-47P,0.056
BTF3P2,0.056
RNU6-16P,0.056
PSMB3,0.056
SLC8A2,0.056
UBE2NL,0.056
NAV2-AS3,0.056
HNRNPLL,0.056
ODR4,0.056
PRKRA,0.056
RPSAP3,0.056
H2BW2,0.056
ENSG00000251391,0.056
PKLR,0.056
ENSG00000253334,0.056
ENSG00000206062,0.056
ENSG00000226197,0.056
MIR4261,0.056
ENSG00000254980,0.056
EDA2R,0.056
ENSG00000268047,0.056
MIB1,0.056
PRDX3P3,0.056
RPL4P4,0.056
SNORA52,0.056
ENSG00000206790,0.056
LINC02063,0.056
LINC00477,0.056
WBP11,0.056
MRPS33P3,0.056
ENSG00000230233,0.056
AP1AR,0.056
DLSTP1,0.056
ENSG00000177738,0.056
MIR6747,0.056
WASHC5-AS1,0.056
ENSG00000226043,0.056
HMCES,0.056
ENSG00000254370,0.056
ENSG00000223271,0.056
WDR74,0.056
RPS2P28,0.056
RN7SL313P,0.056
H2BP1,0.056
ENSG00000249265,0.056
ENSG00000233724,0.056
RNF217,0.056
ENSG00000279929,0.056
PLXNA2,0.056
LINC01431,0.056
ENSG00000274766,0.056
ENSG00000267786,0.056
SLIT3-AS1,0.056
PRPF38AP1,0.056
DDT,0.056
ENSG00000262413,0.056
PDZK1,0.056
MUC19,0.056
ENSG00000223838,0.056
ZNF729,0.056
TDRD12,0.056
RPL6P25,0.056
ENSG00000232499,0.056
NPM1P14,0.056
RAB1C,0.056
ENSG00000253114,0.056
TMX2P1,0.056
RPL7AP38,0.056
RPL7,0.056
PMPCB,0.056
ENSG00000274468,0.056
ATP1A1-AS1,0.056
ENSG00000233558,0.056
ENSG00000257781,0.056
ENSG00000254547,0.056
ENSG00000226483,0.056
FGF7P4,0.056
CHCHD5,0.056
RPS4XP19,0.056
TMEM150C,0.056
ENSG00000228625,0.056
LRRC30,0.056
RNU1-140P,0.056
ENSG00000255091,0.056
EIF3H,0.056
ENSG00000274220,0.056
HMGN1P26,0.056
NSUN5,0.056
ENSG00000285076,0.056
OR8B10P,0.056
ENSG00000261774,0.056
SNORD5,0.056
ENSG00000231603,0.056
ENSG00000230803,0.056
ENSG00000234813,0.056
ENSG00000253571,0.056
ENSG00000263551,0.056
PAFAH1B2,0.056
RN7SKP275,0.056
ENSG00000270976,0.056
UBE2L3,0.056
MIR135B,0.056
RSL24D1P2,0.056
KCTD9P1,0.056
OR8B8,0.056
ENSG00000272085,0.056
ENSG00000213302,0.056
MMADHCP1,0.056
MRPL1,0.056
LINC01120,0.056
B4GALT7,0.056
TRIM26BP,0.056
MIR8083,0.056
ELOA3P,0.056
ENSG00000229172,0.056
ENSG00000254590,0.056
RCC2P3,0.056
SLC35E1P1,0.056
KRTAP4-16,0.056
CLDN25,0.056
SMARCE1P2,0.056
ATF4P4,0.056
ENSG00000261457,0.056
SH3D19,0.056
MIR877,0.056
BCL9L,0.056
EIF4BP8,0.056
ENSG00000250994,0.056
INSM2,0.056
MRGPRX7P,0.056
OTUD3,0.056
MTPAP,0.056
ENSG00000248778,0.055
UBQLN1-AS1,0.055
RPS7P10,0.055
ATP5F1BP1,0.055
LINC02235,0.055
CNOT3,0.055
SLC9A3P3,0.055
GALNT7-DT,0.055
HDAC1P2,0.055
ENSG00000275454,0.055
SMC6,0.055
CLDN23,0.055
RPSAP55,0.055
AP3S1,0.055
ENSG00000254139,0.055
LINC00383,0.055
ENSG00000230972,0.055
ENSG00000225649,0.055
MCMDC2,0.055
C2ORF66,0.055
ENSG00000261797,0.055
TP53I13,0.055
ENSG00000267722,0.055
HMGN1P24,0.055
ZNF30,0.055
RNU6-1336P,0.055
KRTAP4-2,0.055
SH3D21,0.055
ALDH1A2-AS1,0.055
ENSG00000240975,0.055
PSMA6P2,0.055
ENSG00000276524,0.055
ENSG00000279446,0.055
MIR6882,0.055
ENSG00000285561,0.055
ENSG00000250636,0.055
CD24P2,0.055
ENSG00000222032,0.055
SNORD15B,0.055
DNAJC28,0.055
RPL7AP66,0.055
LINC02891,0.055
ENSG00000272843,0.055
ENSG00000272942,0.055
MTATP6P14,0.055
FEM1AP1,0.055
ZC3H12A-DT,0.055
NDUFB9P1,0.055
ENSG00000253238,0.055
ENSG00000221139,0.055
HMGN1P35,0.055
ENSG00000234763,0.055
LINC02394,0.055
CCT7P2,0.055
PPIAL4F,0.055
ARHGEF34P,0.055
OXCT1,0.055
CBLC,0.055
ENSG00000276790,0.055
SLK,0.055
PSMD10P2,0.055
ENSG00000237472,0.055
GNAZ,0.055
CLUAP1,0.055
RN7SL181P,0.055
ENSG00000256199,0.055
ENSG00000216368,0.055
PTF1A,0.055
MT1P1,0.055
SH2D7,0.055
ENSG00000240752,0.055
ENSG00000242613,0.055
BCORL1,0.055
ENSG00000281365,0.055
LINC02203,0.055
FAM230G,0.055
ENSG00000274363,0.055
ENSG00000234780,0.055
SNORD105B,0.055
HNRNPA1P30,0.055
ENSG00000279212,0.055
HNRNPA1P66,0.055
SNRPCP1,0.055
OR7E62P,0.055
LRRC74B,0.055
ENSG00000267034,0.055
ENSG00000257797,0.055
ENSG00000236231,0.055
GJC3,0.055
ATP5F1A,0.055
ENSG00000279691,0.055
ENSG00000244429,0.055
FOXR1,0.055
CD164L2,0.055
ENSG00000232310,0.055
RN7SL151P,0.055
TMEM101,0.055
USP21P1,0.055
SNORD63,0.055
SLC26A4-AS1,0.055
HMGB1P1,0.055
ENSG00000231460,0.055
NCOR1P2,0.055
RPS10P28,0.055
ENSG00000202357,0.055
BAIAP2L2,0.055
RWDD3-DT,0.055
HNRNPA1P56,0.055
ENSG00000255470,0.055
BMP6,0.055
ATRN,0.055
ENSG00000267264,0.055
ALS2,0.055
LINC01205,0.055
RNU6-137P,0.055
ENSG00000249960,0.055
ENSG00000280092,0.055
CHCHD2P8,0.055
ENSG00000258529,0.055
DLEU2L,0.055
CARS1-AS1,0.055
TNRC18P1,0.055
HMGN5,0.055
ENSG00000283205,0.055
LINC02294,0.055
ENSG00000167046,0.055
MIR4634,0.055
ENSG00000213590,0.055
SLC25A51P2,0.055
ENSG00000257407,0.055
URM1,0.055
ENSG00000259603,0.055
NDUFB2,0.055
PSME4,0.055
ENSG00000213169,0.055
ENSG00000250979,0.055
EEF1GP8,0.055
RNF6P1,0.055
ALKBH1,0.055
FAM186A,0.055
ZFP1,0.055
SPTBN1-AS1,0.055
NSA2P2,0.055
HYI,0.055
ENSG00000260058,0.055
ENSG00000225402,0.055
ENSG00000260832,0.055
FGF8,0.055
KRTCAP2P1,0.055
GPR32,0.055
ENSG00000232375,0.055
SNORD114-10,0.055
PSMD7-DT,0.055
IGF2-AS,0.055
LINC01608,0.055
ENSG00000214280,0.055
ENSG00000261522,0.055
ENSG00000262786,0.055
ADAMTS5,0.054
ENSG00000255005,0.054
ENSG00000278344,0.054
RNU6-781P,0.054
ENSG00000280228,0.054
ENSG00000279009,0.054
ENSG00000257113,0.054
LINC00603,0.054
PAGE3,0.054
LINC00624,0.054
ENSG00000244193,0.054
GEMIN7,0.054
TCEAL3,0.054
SUDS3P1,0.054
RNA5SP318,0.054
CFAP77,0.054
SDK1-AS1,0.054
ENSG00000277396,0.054
ENSG00000258823,0.054
ENSG00000225744,0.054
PHBP16,0.054
ENSG00000196893,0.054
HNRNPA1P8,0.054
CEACAM16,0.054
SMIM32,0.054
ENSG00000249478,0.054
ENSG00000224541,0.054
POLR2E,0.054
CEACAM20,0.054
HNRNPCL4,0.054
DPEP1,0.054
RNU6-229P,0.054
ENSG00000141979,0.054
COL6A3,0.054
ENSG00000233383,0.054
ENSG00000260612,0.054
ENSG00000176043,0.054
SAR1AP2,0.054
ENSG00000268288,0.054
EEF1GP3,0.054
MIR3934,0.054
ENSG00000269934,0.054
ENSG00000253630,0.054
SNORA2A,0.054
AGO2,0.054
MCCD1,0.054
TMCO4,0.054
MPHOSPH6-DT,0.054
FAM242A,0.054
IGFBP1,0.054
RTL1,0.054
FCRLB,0.054
SAR1AP4,0.054
HAUS6P2,0.054
TTC9B,0.054
RN7SL192P,0.054
TEX48,0.054
RPS7P12,0.054
PKHD1,0.054
COX6CP2,0.054
ENSG00000234108,0.054
LINC01254,0.054
ENSG00000251314,0.054
KRT26,0.054
SPIN3,0.054
ZCCHC9,0.054
MDH1,0.054
AURKBP1,0.054
ENSG00000279034,0.054
HDAC3,0.054
NUP54,0.054
ENSG00000224058,0.054
METTL15P3,0.054
ENSG00000259394,0.054
LINC02211,0.054
CIB2,0.054
ENSG00000259185,0.054
ENSG00000248308,0.054
RN7SKP245,0.054
C1ORF220,0.054
MAVS,0.054
ENSG00000269935,0.054
SERTAD3,0.054
ARHGEF38-IT1,0.054
ENOPH1,0.054
NXPH2,0.054
RNA5SP85,0.054
CD207,0.054
ENSG00000284603,0.054
CDV3P1,0.054
ENSG00000285626,0.054
PPEF1,0.054
LRRC38,0.054
TFGP1,0.054
SLC20A2,0.054
CTF2P,0.054
ENSG00000267317,0.054
BOLA3-DT,0.054
WIPF3,0.054
ENSG00000277241,0.054
KRTAP4-12,0.054
APOOP2,0.054
ENSG00000225605,0.054
LINC02008,0.054
ENSG00000259961,0.054
GPC5,0.054
MIR5091,0.054
MIR4730,0.054
SAR1AP3,0.054
H1-2,0.054
ENSG00000284988,0.054
ENSG00000254099,0.054
FBXO24,0.054
ENSG00000251105,0.054
ENSG00000257376,0.054
ENSG00000233970,0.054
RNU6-1305P,0.054
GTF2F1,0.054
COQ6,0.054
CBX3P4,0.054
METTL25B,0.054
ENSG00000253180,0.054
RNF14P4,0.054
CRYGC,0.054
STH,0.054
LINC01309,0.054
LINC01400,0.054
ENSG00000258108,0.054
ENSG00000267436,0.054
ENSG00000285871,0.054
SLC29A4P1,0.054
ENSG00000183791,0.054
H2AC7,0.054
INSRR,0.054
CWC27,0.054
ENSG00000232939,0.054
NUP58,0.054
HAPLN1,0.054
PGAM1P2,0.054
RN7SKP17,0.054
H1-10-AS1,0.054
ENSG00000277688,0.054
MIR3198-2,0.054
DNTTIP1,0.054
ENSG00000279912,0.054
ENSG00000270470,0.054
TREHP1,0.054
MIR3663HG,0.054
MTND2P26,0.054
IPPKP1,0.054
ENSG00000236390,0.054
ATXN7L2,0.054
ENSG00000228366,0.054
ENSG00000248994,0.054
RFK,0.054
MRPL22P1,0.054
RPS3P1,0.054
MIR4756,0.054
LINC02064,0.054
ENSG00000262049,0.054
CCDC106,0.054
UBE2Q2P1,0.054
AADACL2,0.053
AHCTF1P1,0.053
FAM47E,0.053
ZNF705G,0.053
PM20D2,0.053
VTA1P2,0.053
ENSG00000199636,0.053
ENSG00000282143,0.053
NXNP1,0.053
ENSG00000259968,0.053
ENSG00000220748,0.053
ENSG00000250909,0.053
LINC00703,0.053
ENSG00000279591,0.053
LINC01494,0.053
EIF4A1P12,0.053
MIR718,0.053
LINC00523,0.053
ENSG00000223886,0.053
LYPD8,0.053
ZNF747-DT,0.053
PMM1,0.053
MAGEB6B,0.053
DOCK5,0.053
ENSG00000219314,0.053
ENSG00000236543,0.053
RNU6-1091P,0.053
COMMD2,0.053
NRCAM,0.053
ENSG00000250842,0.053
MIR3928,0.053
NPM1P48,0.053
ZNF713,0.053
ENSG00000207243,0.053
MIR221,0.053
EIF4A1P3,0.053
NEDD8,0.053
ENSG00000215154,0.053
COMMD3-BMI1,0.053
DHTKD1,0.053
RPS23P1,0.053
PPFIA2,0.053
PPIAP42,0.053
PRX,0.053
SNORD6,0.053
MIR6508,0.053
ZNF408,0.053
MAB21L3,0.053
ENSG00000259672,0.053
ENSG00000272787,0.053
ENSG00000228793,0.053
LINC02124,0.053
ENSG00000263311,0.053
DHODH,0.053
TOM1L2,0.053
ENSG00000228521,0.053
CFAP65,0.053
RNA5SP242,0.053
SUB1,0.053
ENSG00000255119,0.053
RECQL5,0.053
SNORA16A,0.053
TRAPPC2B,0.053
CRNN,0.053
RARS2,0.053
LINC01915,0.053
RNU6ATAC38P,0.053
RPL10L,0.053
LINC00871,0.053
RNF7,0.053
KCNV1,0.053
ENSG00000252461,0.053
CST1,0.053
SNORD2,0.053
ENSG00000270781,0.053
ELP5,0.053
ENSG00000225531,0.053
ENSG00000249142,0.053
CYP2C23P,0.053
ENSG00000248423,0.053
PDXP,0.053
RPL22P12,0.053
HPF1,0.053
PDILT,0.053
ENSG00000257261,0.053
PRELID1P6,0.053
USP12P1,0.053
ENSG00000249967,0.053
SAR1A,0.053
BPESC1,0.053
ENSG00000248699,0.053
ENSG00000285789,0.053
SMPX,0.053
MIR4641,0.053
C12ORF43,0.053
ZNF689,0.053
SRSF3P6,0.053
ENSG00000254452,0.053
FBXO34-AS1,0.053
KIF26B,0.053
ENSG00000219487,0.053
ENSG00000243762,0.053
ENSG00000249828,0.053
ENSG00000214883,0.053
ENSG00000260683,0.053
TIMM9P3,0.053
ENSG00000273038,0.053
ENSG00000243613,0.053
SNRPD2P2,0.053
TBC1D4,0.053
GLYCAM1,0.053
PPIAP8,0.053
ENSG00000225785,0.053
ENSG00000274015,0.053
ENSG00000252919,0.053
ENSG00000260126,0.053
ENSG00000278467,0.053
CCNJL,0.053
NARS1P2,0.053
MPHOSPH10,0.053
RN7SL546P,0.053
ENSG00000266976,0.053
ENSG00000231694,0.053
IFNL3,0.053
TIMM17B,0.053
PPP2R3B,0.053
ENSG00000254939,0.053
ENSG00000233887,0.053
ENSG00000257779,0.053
FAM220CP,0.053
RPS17P8,0.053
DARS1,0.053
RNU6-15P,0.053
MIR6873,0.053
RSL24D1,0.053
POLR2G,0.053
ENSG00000235705,0.053
HHIPL1,0.053
KANSL2,0.053
TPI1P4,0.053
CNPY4,0.053
ENSG00000249351,0.053
RPSAP46,0.053
ARFGEF2,0.053
ELN-AS1,0.053
LINC02014,0.053
TMED7-TICAM2,0.053
CIAO3,0.053
SMIM7P1,0.053
STT3B,0.053
ELOCP32,0.053
ENSG00000254111,0.053
ENSG00000278957,0.053
ENSG00000277103,0.053
RNU6-1045P,0.053
ENSG00000234578,0.053
ENSG00000225191,0.053
ENSG00000230495,0.053
PGAM5P1,0.053
CWH43,0.053
ENSG00000280561,0.053
MTCYBP31,0.052
KCNQ5-DT,0.052
ENSG00000257951,0.052
GAPDHP61,0.052
LRRC57P1,0.052
ENSG00000279653,0.052
ENSG00000228355,0.052
CICP22,0.052
ENSG00000242757,0.052
TRPM2-AS,0.052
ENSG00000254644,0.052
ENSG00000254412,0.052
EIF4BP6,0.052
ENSG00000226268,0.052
RNU6-39P,0.052
ENSG00000218029,0.052
ENSG00000231119,0.052
TMEM26,0.052
PYY,0.052
FAAP100,0.052
DBX2,0.052
SETP1,0.052
ENSG00000270184,0.052
ENSG00000224613,0.052
ENSG00000215381,0.052
ENSG00000280323,0.052
ENSG00000255540,0.052
AHCTF1,0.052
LINC01339,0.052
SIPA1L3,0.052
GOT2P3,0.052
OR8G2P,0.052
ENSG00000258053,0.052
ENSG00000257012,0.052
ENSG00000258012,0.052
OR8C1P,0.052
H2BC1,0.052
ENSG00000269376,0.052
CHMP1A,0.052
ENSG00000238129,0.052
YJEFN3,0.052
OR1Q1BP,0.052
ENSG00000277971,0.052
LINC00410,0.052
ENSG00000256779,0.052
ENSG00000284130,0.052
CACNA1H,0.052
OR4N2,0.052
SINHCAF,0.052
RPL6P29,0.052
SOX21-AS1,0.052
TUBA3D,0.052
ENSG00000267605,0.052
LINC02249,0.052
ENSG00000253968,0.052
ENSG00000280498,0.052
RPL23AP95,0.052
ENSG00000257307,0.052
ENSG00000267061,0.052
ENSG00000217060,0.052
RPL23AP68,0.052
KRTAP4-17P,0.052
ENSG00000265678,0.052
MUSK,0.052
ENSG00000260488,0.052
RNU6-1331P,0.052
GLTPP1,0.052
ENSG00000280044,0.052
LINC02845,0.052
ENSG00000226160,0.052
RPL35P4,0.052
MAOA,0.052
TRHDE,0.052
WSCD1,0.052
HNRNPA1P45,0.052
SMIM39,0.052
LSM1,0.052
HFE,0.052
ENSG00000228133,0.052
ENSG00000254347,0.052
SPAG11A,0.052
PPIAP82,0.052
RN7SL708P,0.052
LINC02089,0.052
RN7SL472P,0.052
AK4P5,0.052
HSP90B3P,0.052
KDM4A,0.052
WBP11P1,0.052
ENSG00000267030,0.052
TAF4,0.052
ENSG00000254758,0.052
RPSAP4,0.052
DNAJC13,0.052
MIR1257,0.052
SUZ12,0.052
PSG8-AS1,0.052
NUS1P1,0.052
NF1P5,0.052
ENSG00000259227,0.052
STEAP2-AS1,0.052
CCDC197,0.052
ENSG00000258638,0.052
ENSG00000213078,0.052
LINC02209,0.052
EOGT,0.052
RPL10A,0.052
ENSG00000278388,0.052
KPNA4,0.052
ITGA1,0.052
S100A11P8,0.052
ENSG00000223669,0.052
RAB40C,0.052
ENSG00000285674,0.052
ENSG00000224653,0.052
ENSG00000269179,0.052
ENSG00000258177,0.052
UPK3B,0.052
KRI1,0.052
ENSG00000277011,0.052
ENSG00000255275,0.052
ENSG00000268403,0.052
ENSG00000266101,0.052
MROH9,0.052
RPS17P2,0.052
WRN,0.052
ESRRAP1,0.052
ENSG00000213076,0.052
ENSG00000282876,0.052
RUNX1,0.052
ENSG00000259994,0.052
ENSG00000259413,0.052
LRFN5,0.052
FRMD3-AS1,0.052
ZBTB8OSP1,0.052
MFN2,0.052
ENSG00000280357,0.052
ENSG00000249779,0.052
SLPI,0.052
MIR1287,0.052
RNA5SP463,0.052
ZNRD2,0.052
ENSG00000257294,0.052
ZSCAN9,0.052
FEM1AP4,0.052
SSXP3,0.052
PCA3,0.052
ENSG00000257389,0.052
ENSG00000283031,0.052
ENSG00000223738,0.052
IGBP1P2,0.052
ENSG00000250712,0.052
MIR3648-1,0.052
PRR23C,0.052
GINM1,0.052
ENSG00000261079,0.052
SNORA1,0.052
PIK3R4,0.052
RPS7P14,0.052
LINC02689,0.052
CSTB,0.052
ARF1P1,0.052
ENSG00000255432,0.052
ENSG00000242660,0.052
RPSAP17,0.052
ENSG00000258693,0.052
RPS12P16,0.052
ENSG00000248359,0.052
TOR1B,0.052
ENSG00000279889,0.052
ENSG00000272748,0.051
ACSBG1,0.051
RPS15AP9,0.051
ENSG00000229969,0.051
ENSG00000263821,0.051
RN7SKP30,0.051
ENSG00000215586,0.051
